time,income,red,cash,total1,asset,total2,loan,total3,account,win,actual,log初始化a支付宝b微信c卡-信用卡，a基金bAshares c Mshares.备注要减信用卡,remark,publicFunds,extra,balance,,
2021/6/1,11.5,1.5,a0.6b0c1.4,2,a0b111c45-15,141,a10+10+3+5,28,171,2,169,这个月要交房租cao,,20,,,,
2021/6/21,11.5,1.5,a0.2b0.4c0.8,1.4,a0b118.1c43.6-15,146.7,a10+10+3+5,28,176.1,13.5,162.6,这个月20天花了4200,,20,,,,
2021/7/1,11.5,1.5,a0.4b0c2.5,2.9,a0b116c43.6,159.6,a10+10+3+5,28,190.5,23,167.5,6月挣了25000.。。。不然花销完全顶不住。。。,,20,,,,
2021/7/19,11.5,1.5,a1b0.2c0.2,1.4,a0b116.6c43,159.6,a10+10+3+5,28,189,26.3,162.7,这个月挣了3300，全部花掉了。。。,,20,,,,
2021/8/5,11.5,1.5,a0b0.2c11.8,12,a0b114.7c36.7,151.4,a10+10+3+5,28,191.4,14,177.4,这波亏了8k。。。。,,20,,,,
2021/9/1,11.5,1.5,a0b0.3c12.3,12.6,a0b120c36.2,156.2,a10+10+3+5,28,196.8,,196.8,,,20,,,,
2021/10/8,11.5,1.5,a0.4b0.8c2.6,3.8,a0b114c36.2,150.2,a10+10+3+5,28,182,,182,国庆花了3k还行,,20,,,,
2021/11/1,11.5,1.5,a1.8b0c1.2,3,a0b138.1c35.8,173.9,a10+10+3+5,28,204.9,,204.9,t,,20,,,,
2022/1/5,11.5,1.5,a0b0c12,12,a0b125.7c27.7,153.4,a10+10+3+5,28,193.4,,193.4,,,30,,,,
2022/2/9,11.5,1.5,a0b0c7,7,a0b122c26.6,148.6,a10+10+3+5,28,183.6,-20,203.6,一年挣7W，亏5.6W，年底目标30没问题吧,,,,,,
2022/6/15,11.5,1.5,a8.2b0.2c24.2,32.6,a0b33.5c28,61.5,a10+10+3+5,28,122.1,-120,242.1,慢慢收回损失吧,,34,,,,
2022/7/3,5,1.5,a2.3b0.2c24.6,27.1,a0b33.5c27.2,60.8,a10+10+3+5,28,115.9,-120,235.9,交了房租,,34,,,,
2022/8/1,12.8,1.5,a0.6b0.8c35,36.4,a0b33.5c20.8,54.3,a10+10+3+5,28,118.7,-120,238.7,,,,,,,
2022/9/18,0,1.5,a0b1.2c33.7,34.9,a0b34.3c25.6,59.9,a10+10+3+5,28,122.8,-120,242.8,1500+700+1600节省点了,,,,,,
2022/9/25,1,1.5,a0b1.2c27.5,28.7,a0b34.3c30,64.3,a10+10+3+5,28,121,-100,221,交房租4650，美股回血5K.,,37,,,,
2022/11/8,11.8,1.5,a0b0.6c32.3,32.9,"a0b34,4c31.1",65.5,a10+10+3+5,28,126.4,,126.4,,,,,,,
2022/12/7,13.9,1.5,a0b0.3c44.2,44.5,a0b34.4c25,59.4,a10+10+3+5,28,131.9,,131.9,,,,,,,
2022/1/30,13.9,1.5,a0b0.3c3.3,3.6,a0b283.5c20.5,304,a10+10+3+5,28,335.6,200,135.6,信用卡-5k,,,,,,
2022/2/6,19.45,1.5,a0b0.3c20,20.3,a0b279.5c21.3,300.8,a10+10+3+5,28,349.1,200,149.1,信用卡-2.5k,,46,,,,
2022/3/14,19.45,1.5,a0b0.6c13,13.6,a0b260c24,284,a10+10+3+5,28,325.6,200,125.6,,,48,,,,
2022/4/7,18.58,1.5,a0b0c10.4,10.4,a0b275c18.5,293.5,a10+10+3+5,28,331.9,200,131.9,信用卡-1.5k,,50,,,,
2022/7/10,18.58,1.5,a0b0c29.4,29.4,a0b283c13.1,296.1,a10+10+3+5,28,353.5,200,153.5,,,,,,,
2023/10/11,20.58,1.5,a0b0c24.3,24.3,a0b273.8c12.7,286.5,a10+10+3+5,28,338.8,200,138.8,国庆花了4k还好 预计年底+60k=200k,,60,260,,,
20240220,20.58,1.5,a0b4.2c13.4,17.6,a0b68.4c15,83,a10+10+3+5,28,128.6,0,128.6,,,80,,,,
20240407,0,1.5,a3.5b3.7c76,83.2,a0b77c15,92,a10+10+3+5+3.5,31.5,206.7,0,206.7,希望年底到400,,80,,,,
20240508,2,1.5,a0b2c54.9,56.9,a20b78c15,113,a10+10+3+5+3.5,31.5,201.4,0,201.4,五一消费2，额外消费3，希望年底到400,,80,加上公积金=281.4,,,
20240611,2,1.5,a0b1.7c43.1,44.8,a20b73c15,108,a10+10+3+5+3.5,31.5,184.3,0,184.3,,,,,,,
20240827,2,1.5,a2.6b8.3c32.6,43.5,a20b71c15,105,a10+10+3+5,28,176.5,0,176.5,,,90,失业金大概领1万了,total266,,
20241016,2,1.5,a1.5b1.4c0.1,3,a20b97c15,132,a10+10+3+5,28,163,0,163,,,95,,total258,,
20241101,0,1.5,a0.9b0.2c2,3.1,a20b96c15,131,a10+10+3+5,28,162.1,0,162.1,争取明年底total400,,95,,257.1,,
20241113,5.3,1.5,a0.8b0.2c5.3,6.3,a20b95.5c16,131.5,a10+10+3+5,28,165.8,0,165.8,,,95,,260.8,,
20250109,18,1.5,a0.5b0.2c9.7,10.4,a20b98c16,134,a10+10+3+5,28,172.4,0,172.4,,,95,,267.4,,
20250305,21,1.7,a0.5b0.5c6.7,7.7,a20b121c14,155,a10+10+3+5,28,190.7,0,190.7,,,101.3,,292,,
20250310,21,1.7,a0.5b0.1c27.7,28.3,a20b120c13,153,a10+10+3+5,28,209.3,0,209.3,,,101.3,,310.6,,
20250512,21,1.7,a0b0.8c59.6,60.4,a20.5b126c12,158.5,a10+10+3+5,28,246.9,0,246.9,,,107.4,,354.3,,
20250618,21,1.7,a0b1.2c72,73.2,a20.5b126c14.7,161.2,a10+10+3+5,28,262.4,0,262.4,,,108.4,,370.8,,
20250722,21,1.7,a0.9b0.3c85.4,86.6,a20.6b128.9c17.1,166.6,a10+10+3+5,28,281.2,0,281.2,,,111,,392.2,,
20250811,21,1.7,a0.8b0.3c96,97.1,a20.6b130c18,168.6,a10+10+3+5,28,293.7,0,293.7,,,111,,404.7,,
20250910,21,1.7,a3.7b0c109,112.7,a20.6b139c18,177.6,a10+10+3+5,28,318.3,0,318.3,,,114.8,,433.1,,
20250919,21,1.7,a3.7b0c83.9,87.6,a20.6b165c17.7,203.3,a10+10+3+5,28,318.9,0,318.9,,,114.4,,433.3,,
20251010,21,1.7,a0b1.2c1,2.2,a20.6b249c17.7,287.3,a10+10+3+5-6.6,21.4,310.9,0,310.9,今天还会发工资+20,,120,,430.9,发工资后450.9,
20251113,21,1.7,a0b0.2c27.6,27.8,a20.7b248c17.6,286.3,a10+10+3+5,28,342.1,0,342.1,,,123.4,,465.5,,
20260105,21,1.7,a1.1b0.2c83.2,84.5,a20.7b195c16.9,232.6,a10+10+3+5,28,345.1,0,345.1,,,127.2,,472.3,,
20260110,21,1.7,a1.1b0.2c110.8,112.1,a20.7b197c16.9,234.6,a10+10+3+5,28,374.7,-177,551.7,2026年总资产达到50W了看看如果27年达到75 28年100？,,127.8,,502.5,,
20260125,21,1.7,a1.1b0.1c98.9,100.1,a20.7b199c16.9,236.6,a10+10+3+5,28,364.7,,364.7,,,133.3,,498,,
20260222,21,1.7,a0.7b0.0c119.4,120.1,a20.7b197c16.7,234.4,a10+10+3+5,28,382.5,,382.5,,,134.1,,516.6,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,21,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,,1.7,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,,,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,,,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,,,,,,,a10+10+3+5,28,28,,28,,,,,28,,
,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,0,,
